driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
13726,41,11,4.0,12,12,0,driver_standings.csv
13724,41,5,8.0,9,9,0,driver_standings.csv
13722,41,23,2.0,14,14,0,driver_standings.csv
13721,41,3,5.0,10,10,0,driver_standings.csv
13720,41,13,33.0,3,3,2,driver_standings.csv
13718,41,2,26.0,5,5,0,driver_standings.csv
13716,41,4,40.0,2,2,2,driver_standings.csv
13759,42,20,1.0,16,16,0,driver_standings.csv
13758,42,14,4.0,12,12,0,driver_standings.csv
13757,42,27,0.0,22,22,0,driver_standings.csv
13756,42,9,12.0,7,7,0,driver_standings.csv
13755,42,26,0.0,17,17,0,driver_standings.csv
13754,42,25,8.0,9,9,0,driver_standings.csv
13753,42,16,0.0,21,21,0,driver_standings.csv
13752,42,19,0.0,19,19,0,driver_standings.csv
13751,42,18,0.0,20,20,0,driver_standings.csv
13750,42,24,0.0,23,23,0,driver_standings.csv
13748,42,11,4.0,13,13,0,driver_standings.csv
13746,42,5,12.0,8,8,0,driver_standings.csv
13744,42,23,2.0,15,15,0,driver_standings.csv
13743,42,3,5.0,11,11,0,driver_standings.csv
13742,42,13,39.0,3,3,2,driver_standings.csv
13740,42,2,26.0,5,5,0,driver_standings.csv
13738,42,4,48.0,2,2,2,driver_standings.csv
13782,43,20,1.0,17,17,0,driver_standings.csv
13781,43,14,4.0,12,12,0,driver_standings.csv
13780,43,27,0.0,22,22,0,driver_standings.csv
13779,43,9,17.0,6,6,0,driver_standings.csv
13778,43,26,0.0,18,18,0,driver_standings.csv
13777,43,25,8.0,9,9,0,driver_standings.csv
13776,43,16,0.0,21,21,0,driver_standings.csv
13775,43,19,0.0,20,20,0,driver_standings.csv
13774,43,18,1.0,16,16,0,driver_standings.csv
13773,43,24,0.0,23,23,0,driver_standings.csv
13772,43,17,2.0,14,14,0,driver_standings.csv
13771,43,11,4.0,13,13,0,driver_standings.csv
13769,43,5,12.0,8,8,0,driver_standings.csv
13767,43,23,2.0,15,15,0,driver_standings.csv
13766,43,3,5.0,11,11,0,driver_standings.csv
